AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ03,3,Chip 2,HSS-FE PL,20,8,#43A047,1,4,45,45 - AZ03 - 3,12,9 de 12
AZ03,3,Chip 2,HSS-FE PL,28,8,#43A047,1,4,45,45 - AZ03 - 3,12,10 de 12
AZ03,3,Chip 2,INFRA,37,3,#000000,0,1,45,45 - AZ03 - 3,0,
AZ03,4,Chip 1,EDA PN,0,5,#8B5E3C,1,1,46,46 - AZ03 - 4,3,2 de 3
AZ03,4,Chip 1,HSS-FE PL,5,8,#43A047,1,4,46,46 - AZ03 - 4,12,5 de 12
AZ03,4,Chip 1,INFRA,17,3,#000000,0,1,46,46 - AZ03 - 4,0,
AZ03,4,Chip 2,HLR-FE PL SPX - CP,20,2,#8BC34A,1,1,46,46 - AZ03 - 4,2,2 de 2
AZ03,4,Chip 2,HLR-FE PL Traffic - BC,22,5,#8BC34A,1,1,46,46 - AZ03 - 4,3,3 de 3
AZ03,4,Chip 2,CUDB SC,27,8,#004B49,1,1,46,46 - AZ03 - 4,2,2 de 2
AZ03,4,Chip 2,INFRA,37,3,#000000,0,1,46,46 - AZ03 - 4,0,
AZ03,5,Chip 1,HSS-FE PL,0,8,#43A047,1,4,47,47 - AZ03 - 5,12,6 de 12
AZ03,5,Chip 1,HSS-FE PL,8,8,#43A047,1,4,47,47 - AZ03 - 5,12,7 de 12
AZ03,5,Chip 1,INFRA,17,3,#000000,0,1,47,47 - AZ03 - 5,0,
AZ03,5,Chip 2,HSS-FE PL,20,8,#43A047,1,4,47,47 - AZ03 - 5,12,11 de 12
AZ03,5,Chip 2,HSS-FE PL,28,8,#43A047,1,4,47,47 - AZ03 - 5,12,12 de 12
AZ03,5,Chip 2,INFRA,37,3,#000000,0,1,47,47 - AZ03 - 5,0,
AZ08,1,Chip 1,SGSN-MME GPB/LC,0,17,#B2005F,1,2,48,48 - AZ08 - 1,19,1 de 19
AZ08,1,Chip 1,INFRA,17,3,#000000,0,1,48,48 - AZ08 - 1,0,
AZ08,1,Chip 2,SAPC-PCRF TP,20,17,#27408B,1,1,48,48 - AZ08 - 1,30,13 de 30
