AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ08,5,Chip 1,INFRA,17,3,#000000,0,1,48,48 - AZ08 - 5,0,
AZ08,5,Chip 2,EPG-C SFOC,20,12,#8BC34A,1,2,48,48 - AZ08 - 5,7,6 de 7
AZ08,5,Chip 2,INFRA,37,3,#000000,0,1,48,48 - AZ08 - 5,0,
AZ08,6,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,49,49 - AZ08 - 6,18,5 de 18
AZ08,6,Chip 1,INFRA,17,3,#000000,0,1,49,49 - AZ08 - 6,0,
AZ08,6,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,49,49 - AZ08 - 6,18,13 de 18
AZ08,6,Chip 2,INFRA,37,3,#000000,0,1,49,49 - AZ08 - 6,0,
AZ08,7,Chip 1,EPG-C SFOC,0,12,#8BC34A,1,2,50,50 - AZ08 - 7,7,2 de 7
AZ08,7,Chip 1,INFRA,17,3,#000000,0,1,50,50 - AZ08 - 7,0,
AZ08,7,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,50,50 - AZ08 - 7,18,14 de 18
AZ08,7,Chip 2,INFRA,37,3,#000000,0,1,50,50 - AZ08 - 7,0,
AZ08,8,Chip 1,EPG-C SFOC,0,12,#8BC34A,1,2,51,51 - AZ08 - 8,7,3 de 7
AZ08,8,Chip 1,INFRA,17,3,#000000,0,1,51,51 - AZ08 - 8,0,
AZ08,8,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,51,51 - AZ08 - 8,18,15 de 18
AZ08,8,Chip 2,INFRA,37,3,#000000,0,1,51,51 - AZ08 - 8,0,
AZ08,9,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,52,52 - AZ08 - 9,18,6 de 18
AZ08,9,Chip 1,INFRA,17,3,#000000,0,1,52,52 - AZ08 - 9,0,
AZ08,9,Chip 2,EPG-C SFOC,20,12,#8BC34A,1,2,52,52 - AZ08 - 9,7,7 de 7
AZ08,9,Chip 2,INFRA,37,3,#000000,0,1,52,52 - AZ08 - 9,0,
AZ08,10,Chip 1,SGSN-MME GPB/LC,0,17,#4E545B,1,2,53,53 - AZ08 - 10,18,7 de 18
AZ08,10,Chip 1,INFRA,17,3,#000000,0,1,53,53 - AZ08 - 10,0,
AZ08,10,Chip 2,SGSN-MME GPB/LC,20,17,#4E545B,1,2,53,53 - AZ08 - 10,18,16 de 18
AZ08,10,Chip 2,INFRA,37,3,#000000,0,1,53,53 - AZ08 - 10,0,
